NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
AXISBANK,UTI Bank Ltd.,Axis Bank Limited,16-AUG-2007
AXISCADES,Axis-IT&T Limited,AXISCADES Engineering Technologies Limited,08-OCT-2014
AYMSYNTEX,Welspun Syntex Limited,AYM Syntex Limited,03-FEB-2016
AZTECSOFT,Aztec Software and Technology Services Ltd.,Aztecsoft Limited,20-SEP-2006
BAGFILMS,B.A.G. Films Limited,B.A.G Films and Media Limited,29-JUN-2007
BAJAJHIND,Bajaj Hindusthan Limited,Bajaj Hindusthan Sugar Limited,02-MAR-2015
BAJAJHLDNG,Bajaj Auto Ltd,Bajaj Holdings & Investment Limited,14-MAR-2008
BAJFINANCE,Bajaj Auto Finance Limited,Bajaj Finance Limited,29-SEP-2010
BALKRISHNA,Nirvikara Paper Mills Limited,Balkrishna Paper Mills Limited,06-SEP-2016
BALURTRANS,Balurghat Transport Co. Ltd,BALURGHAT TECHNOLOGIES LIMITED,14-MAR-2001
BANKBEES,R*Shares Bank BeES,Reliance ETF Bank BeES,31-MAR-2017
BAUSCHLOMB,Bausch & Lomb India Ltd,Rayban Sun Optics Limited,06-JUN-2001
BEML,Bharat Earth Movers Ltd,BEML Limited,30-NOV-2007
BENTOLCHEM,BENTOLL CHEMICALS LTD.,Chemox Laboratories Limited,04-JUL-1996
BHAGYNAGAR,Bhagyanagar Metals Limited,Bhagyanagar India Limited,12-SEP-2006
BHARATFIN,SKS Microfinance Limited,Bharat Financial Inclusion Limited,01-JUL-2016
BHARATIDIL,Bharati Shipyard Limited,Bharati Defence and Infrastructure Limited,26-FEB-2016
BHARTIARTL,Bharti Tele-Ventures Ltd.,Bharti Airtel Limited,19-JUN-2006
BHUPENIND,Bhupendra Industries Ltd,BIL Industries Limited,16-SEP-1998
BHUSANSTL,Bhushan Steels & Strips Ltd,Bhushan Steel Limited,05-JUN-2007
BIHARALLOY,Bihar Alloys Steel Ltd,Umi Special Steel Limited,09-JUL-1997
BINANIZINC,Binani Zinc Ltd,Binani Industries Limited,13-MAR-1997
BINDALAGRO,BINDAL AGROCHEMICALS LTD,Oswal Chemicals & Fertilizers Limited,06-JUL-1996
BIRLACABLE,Birla Ericsson Optical Limited,Birla Cable Limited,26-SEP-2016
BIRLACORPN,Birla Corp Ltd,Birla Corporation Limited,11-NOV-1998
BIRLAMONEY,Apollo Sindhoori Capital Investments Limited,Aditya Birla Money Limited,09-SEP-2009
BIRLAPOWER,Birla Yamaha Ltd.,Birla Power Solutions Limited,06-JUN-2007
BLUECOAST,Blue Coast Hotels and Resorts Limited,Blue Coast Hotels Limited,23-NOV-2011
BOOTSPHARM,Knoll Pharmaceuticals Ltd.,Abbott India Limited,30-SEP-2002
BOSCHCHASY,Kalyani Brakes Ltd,Bosch Chassis Systems India Limited,10-FEB-2006
BOSCHLTD,Motor Industries Co. Ltd.,Bosch Limited,28-FEB-2008
BPLREFRIG,BPL Refrigeration Ltd,B S REFRIGERATORS LIMITED,07-MAR-2001
BPLSANTECH,BPL Sanyo Technologies Ltd.,BST Limited,12-DEC-2000
BPLSANUTIL,BPL Sanyo Utilities & Appliances Ltd,B S Appliances Limited,12-DEC-2000
BRABOURNE,Searle (India) Ltd,Brabourne Enterprises Limited,14-MAR-2008
BSELINFRA,BSEL Information Systems Limited,BSEL Infrastructure Realty Limited,12-MAR-2004
BSLIMITED,BS TransComm Limited,BS LIMITED,29-NOV-2012
CAPF,Future Capital Holdings Limited,Capital First Limited,06-DEC-2012
CAREERP,Career Point Infosystems Limited,Career Point Limited,16-NOV-2011
CARERATING,Credit Analysis And Research Limited,CARE Ratings Limited,06-JUL-2017
CAROLINFO,Wockhardt Life Sciences Limited,Carol Info Services Limited,27-SEP-2004
CASTEXTECH,Amtek India Limited,Castex Technologies Limited,11-JUN-2015
CEATFIN,Ceat Financial Services Ltd,CFL Capital Financial Services Limited,01-OCT-2001
CELESTIAL,Celestial Labs Limited,Celestial Biolabs Limited,17-MAR-2010
CENTBOP,Centurion Bank Limited,Centurion Bank of Punjab Limited,06-DEC-2005
CENTUM,Solectron Centum Electronics Limited,Centum Electronics Limited,22-JAN-2008
CGCL,Money Matters Financial Services Limited,Capri Global Capital Limited,05-AUG-2013
CGPOWER,Crompton  Greaves Limited,CG Power and Industrial Solutions Limited,08-MAR-2017
CHEMPLAST,CHEMICALS AND PLASTICS (I) LTD.,Chemplast Sanmar Limited,04-JUL-1996
CHENNPETRO,Madras Refineries Ltd.,Chennai Petroleum Corporation Limited,07-JUN-2000
CHENNPETRO,Madras Refineries Ltd.,Chennai Petroleum Corporation Limited,07-JUN-2000
CHOLAFIN,Cholamandalam DBS Finance Limited,Cholamandalam Investment and Finance Company Limited,22-JUN-2010
CIMMCO,Cimmco Birla Limited,Cimmco Limited,23-NOV-2011
CINELINE,Cinemax Properties Limited,Cineline India Limited,23-AUG-2013
CINEVISTA,Cinevistaas Limited,Cinevista Limited,29-NOV-2012
CLNINDIA,Colour Chem Ltd,Clariant Chemicals (India) Limited,05-JUN-2006
COCHINREFN,Cochin Refineries Ltd,Kochi Refineries Limited,05-JUL-2000
CORALHUB,Vishal Information Technologies Limited,Coral Hub Limited,26-JUL-2010
COREEDUTEC,Core Projects and Technologies Limited,CORE Education & Technologies Limited,07-SEP-2011
COROMANDEL,Coromandel Fertilisers Ltd.,Coromandel International Limited,12-OCT-2009
COUNCODOS,Neocure Therapeutics Limited,Country Condo's Limited,31-AUG-2012
COX&KINGS,Cox And Kings (India) Limited,Cox & Kings Limited,23-AUG-2010
CPSEETF,Goldman Sachs Mutual Fund - CPSE ETF - Growth Option,CPSE ETF,07-NOV-2016
CREDITCAP,Creditcapital Venture Fund (I) Ltd,IL&FS Venture Corporation Limited,29-MAY-1997
CREST,Sharyans Resources Limited,Crest Ventures Limited,16-OCT-2014
CRESTANI,Crest Communication Ltd,Crest Animation Studios Limited,04-JAN-2005
CRISIL,The Credit Rating Information Services of  India Ltd,CRISIL Limited,15-MAR-2004
CUMMINSIND,Kirloskar Cummins Ltd.,Cummins India Limited,16-SEP-1997
CURATECH,Softpro Systems Limited,Cura Technologies Limited,23-NOV-2010
CYBERSPACE,Cyberspace Infosys Limited,CYBERSPACE LIMITED,04-OCT-2000
CYIENT,Infotech Enterprises Limited,Cyient Limited,22-MAY-2014
CYNAMID,Cyanamid India Ltd,Wyeth Lederle Limited,20-JAN-1998
DAAWAT,L. T. Overseas Limited,LT Foods Limited,11-NOV-2008
DALMIABHA,Dalmia Bharat Enterprises Limited,Dalmia Bharat Limited,09-JAN-2013
DALMIAREF,Shri Nataraj Ceramic and Chemical Industries Limited,Dalmia Refractories Limited,22-MAY-2014
DALMIASUG,Dalmia Cement (Bharat) Limited,Dalmia Bharat Sugar and Industries Limited,30-SEP-2010
DATAMATICS,Datamatics Technologies Limited,Datamatics Global Services Limited,20-APR-2009
DCBBANK,Development Credit Bank Limited,DCB BANK LIMITED,15-JAN-2014
DCHL,Deccan Chronicle Hold Ltd,Deccan Chronicle Holdings Limited,31-AUG-2006
DCMDAEWOO,DCM  Daewoo Motors Ltd,Daewoo Motors India Limited,02-JUN-1998
DCMSHRIRAM,DCM Shriram Consolidated Limited,DCM Shriram Limited,13-MAR-2014
DELTACORP,Arrow Webtex Limited,Delta Corp Limited,11-DEC-2008
DELTAMAGNT,GP Electronics Ltd.,Delta Magnets Limited,15-DEC-2008
DENORA,Titanor Components Ltd.,De Nora India Limited,20-AUG-2007
DHAMPURSUG,The Dhampur Sugar Mills Limited,Dhampur Sugar Mills Limited,03-JUL-2013
